bedrooms,bathrooms,latitude,longitude,city_brampton,city_markham,city_mississauga,city_toronto,city_vaughan,home_type_condo,home_type_single_family,home_type_townhouse,price,prediction
4,3,43.705524,-79.74558,1,0,0,0,0,0,1,0,949000,1045674
3,1,43.72091,-79.70404,1,0,0,0,0,0,1,0,1249000,949582
4,4,43.5702,-79.69523,0,0,1,0,0,0,1,0,3149000,1765933
2,2,43.871044,-79.48177,0,0,0,0,1,0,1,0,3288000,3185523
4,5,43.89946,-79.22304,0,1,0,0,0,0,1,0,995000,1382031
4,5,43.680313,-79.72966,1,0,0,0,0,0,0,1,699000,673064
3,2,43.831066,-79.404594,0,1,0,0,0,0,0,1,799900,1142445
3,2,43.70731,-79.465744,0,0,0,1,0,1,0,0,899000,1370450
3,3,43.52459,-79.70014,0,0,1,0,0,0,1,0,1528880,1292692
3,1,43.765762,-79.257965,0,0,0,1,0,0,1,0,999000,675750
1,1,43.82627,-79.37146,0,1,0,0,0,0,1,0,2199000,2514247
2,2,43.827835,-79.30139,0,1,0,0,0,0,0,1,659000,1180545
1,1,43.7191,-79.30226,0,0,0,1,0,1,0,0,539900,573302
4,4,43.741264,-79.361885,0,0,0,1,0,0,1,0,2595000,1768310
4,3,43.67009,-79.783134,1,0,0,0,0,0,1,0,1199000,1383117
5,4,43.901783,-79.27848,0,1,0,0,0,0,1,0,2480000,1375424
3,3,43.588787,-79.758385,0,0,1,0,0,0,0,1,649900,753287
3,2,43.583252,-79.77379,0,0,1,0,0,0,1,0,1175000,1199263
4,4,43.700558,-79.82564,1,0,0,0,0,0,1,0,1289000,1209451
3,2,43.648827,-79.3781,0,0,0,1,0,1,0,0,899900,1326833
